"deno_mysql""	""manyuanrong/deno_mysql""	""https://github.com/manyuanrong/deno_mysql""	""145""	""32""	""145""	""9""	""false""	"" MySQL driver for Deno"
"Discordeno""	""Skillz4Killz/Discordeno""	""https://github.com/Skillz4Killz/Discordeno""	""116""	""14""	""116""	""4""	""false""	""Discord Deno API library wrapper (Officially vetted library by Discord team) https://discordeno.netlify.app"
"deno-sqlite""	""dyedgreen/deno-sqlite""	""https://github.com/dyedgreen/deno-sqlite""	""115""	""13""	""115""	""7""	""false""	""Deno SQLite module"
"denovel""	""fauzan121002/denovel""	""https://github.com/fauzan121002/denovel""	""103""	""20""	""103""	""8""	""false""	""A Deno Framework For Web Artisan - Inspired by Laravel"
"otpauth""	""hectorm/otpauth""	""https://github.com/hectorm/otpauth""	""96""	""16""	""96""	""8""	""false""	""One Time Password (HOTP/TOTP) library for Node.js, Deno and browsers."
"type-detect""	""chaijs/type-detect""	""https://github.com/chaijs/type-detect""	""92""	""27""	""92""	""14""	""false""	""Improved typeof detection for node.js and the browser."
"mandarinets""	""mandarineorg/mandarinets""	""https://github.com/mandarineorg/mandarinets""	""90""	""6""	""90""	""7""	""false""	""Mandarine.TS is a typescript, decorator-driven framework that allows you to create server-side applications. Mandarine.TS provides a range of built-in solutions such as Dependency Injection, Components, ORM and more. Under its umbrella, Mandarine.TS has 4 modules: Core, Data, Security and MVC, these modules will offer you the requirements to build a Mandarine-powered application."
"denox""	""BentoumiTech/denox""	""https://github.com/BentoumiTech/denox""	""86""	""7""	""86""	""1""	""false""	""Script runner and workspace configuration for Deno"
"y18n""	""yargs/y18n""	""https://github.com/yargs/y18n""	""83""	""19""	""83""	""5""	""false""	"":ledger: the bare-bones i18n library used by yargs"
"keycode-js""	""kabirbaidhya/keycode-js""	""https://github.com/kabirbaidhya/keycode-js""	""81""	""7""	""81""	""7""	""false""	""A javascript package with key code constants."
"dejs""	""syumai/dejs""	""https://github.com/syumai/dejs""	""81""	""2""	""81""	""6""	""false""	""ejs template engine for deno."
"deno-udd""	""hayd/deno-udd""	""https://github.com/hayd/deno-udd""	""75""	""3""	""75""	""6""	""false""	""Update Deno Dependencies - update dependency urls to their latest published versions"
"eta""	""eta-dev/eta""	""https://github.com/eta-dev/eta""	""74""	""1""	""74""	""4""	""false""	""Embedded JS template engine for Node, Deno, and the browser. Lighweight, fast, and pluggable. Written in TypeScript"
"easy-soap-request""	""circa10a/easy-soap-request""	""https://github.com/circa10a/easy-soap-request""	""73""	""29""	""73""	""5""	""false""	""Small Node.js library to make SOAP requests easier"
"dso""	""manyuanrong/dso""	""https://github.com/manyuanrong/dso""	""73""	""13""	""73""	""4""	""false""	""Simple Orm library for Deno based on deno_mysql"
"rubico""	""a-synchronous/rubico""	""https://github.com/a-synchronous/rubico""	""71""	""8""	""71""	""9""	""false""	""🏞 [a]synchronous functional programming"
"deno-fen""	""fen-land/deno-fen""	""https://github.com/fen-land/deno-fen""	""71""	""2""	""71""	""10""	""false""	""a simple web framework for deno"
